bpsName,bpsNumber,groupVeg,acresTotal,acresLeft,percentLeft,disturbance,percentDisturbed,acresDisturbed,acresDisturbedLeft
Allegheny-Cumberland Dry Oak Forest and Woodland,6113170,Hardwood,698785,467731,66.93489414,MixedFire,0.87558,6118,4095.076823
Allegheny-Cumberland Dry Oak Forest and Woodland,6113170,Hardwood,698785,467731,66.93489414,SurfaceFire,10.59186,74014,49541.19255
Allegheny-Cumberland Dry Oak Forest and Woodland,6213170,Hardwood,3963951,1764030,44.50181145,ReplacementFire,2.64366,104793,46634.78327
Allegheny-Cumberland Dry Oak Forest and Woodland,6213170,Hardwood,3963951,1764030,44.50181145,SurfaceFire,9.42972,373789,166342.876
Allegheny-Cumberland Dry Oak Forest and Woodland,6213170,Hardwood,3963951,1764030,44.50181145,NonReplacementFire,10.28006,407497,181343.5466
Allegheny-Cumberland Dry Oak Forest and Woodland,6213170,Hardwood,3963951,1764030,44.50181145,MixedFire,0.85034,33707,15000.22559
Appalachian (Hemlock-)Northern Hardwood Forest,5313700,Hardwood,133123,118518,89.02894316,ReplacementFire,0.1008,134,119.2987838
Appalachian (Hemlock-)Northern Hardwood Forest,5313700,Hardwood,133123,118518,89.02894316,NonReplacementFire,0.09404,125,111.2861789
Appalachian (Hemlock-)Northern Hardwood Forest,5313700,Hardwood,133123,118518,89.02894316,Wind/Weather/Stress,0.7353,979,871.5933535
Appalachian (Hemlock-)Northern Hardwood Forest,5313700,Hardwood,133123,118518,89.02894316,NonFireDisturbances,0.7353,979,871.5933535
Appalachian (Hemlock-)Northern Hardwood Forest,5313700,Hardwood,133123,118518,89.02894316,AlternativeSuccession,0.64038,852,758.5265957
Appalachian (Hemlock-)Northern Hardwood Forest,5313700,Hardwood,133123,118518,89.02894316,MixedFire,0.09404,125,111.2861789
Appalachian (Hemlock-)Northern Hardwood Forest,6013700,Hardwood,731493,46819,6.400471365,ReplacementFire,0.09708,710,45.44334669
Appalachian (Hemlock-)Northern Hardwood Forest,6013700,Hardwood,731493,46819,6.400471365,NonReplacementFire,0.09222,675,43.20318171
Appalachian (Hemlock-)Northern Hardwood Forest,6013700,Hardwood,731493,46819,6.400471365,NonFireDisturbances,0.7394,5409,346.2014961
Appalachian (Hemlock-)Northern Hardwood Forest,6013700,Hardwood,731493,46819,6.400471365,Wind/Weather/Stress,0.7394,5409,346.2014961
Appalachian (Hemlock-)Northern Hardwood Forest,6013700,Hardwood,731493,46819,6.400471365,MixedFire,0.09222,675,43.20318171
Appalachian (Hemlock-)Northern Hardwood Forest,6013700,Hardwood,731493,46819,6.400471365,AlternativeSuccession,0.64438,4714,301.7182201
Appalachian (Hemlock-)Northern Hardwood Forest,6113700,Hardwood,1555315,969556,62.33824016,MixedFire,0.08946,1391,867.1249207
Appalachian (Hemlock-)Northern Hardwood Forest,6113700,Hardwood,1555315,969556,62.33824016,AlternativeSuccession,0.64484,10029,6251.902106
Appalachian (Hemlock-)Northern Hardwood Forest,6113700,Hardwood,1555315,969556,62.33824016,NonFireDisturbances,0.74308,11557,7204.430416
Appalachian (Hemlock-)Northern Hardwood Forest,6113700,Hardwood,1555315,969556,62.33824016,NonReplacementFire,0.08946,1391,867.1249207
Appalachian (Hemlock-)Northern Hardwood Forest,6113700,Hardwood,1555315,969556,62.33824016,Wind/Weather/Stress,0.74308,11557,7204.430416
Appalachian (Hemlock-)Northern Hardwood Forest,6113700,Hardwood,1555315,969556,62.33824016,ReplacementFire,0.09838,1530,953.7750745
Appalachian (Hemlock-)Northern Hardwood Forest,6213700,Hardwood,274830,239309,87.0752829,MixedFire,0.09012,248,215.9467016
Appalachian (Hemlock-)Northern Hardwood Forest,6213700,Hardwood,274830,239309,87.0752829,ReplacementFire,0.09862,271,235.9740167
Appalachian (Hemlock-)Northern Hardwood Forest,6213700,Hardwood,274830,239309,87.0752829,Wind/Weather/Stress,0.74756,2055,1789.397064
Appalachian (Hemlock-)Northern Hardwood Forest,6213700,Hardwood,274830,239309,87.0752829,NonReplacementFire,0.09012,248,215.9467016
Appalachian (Hemlock-)Northern Hardwood Forest,6213700,Hardwood,274830,239309,87.0752829,NonFireDisturbances,0.74756,2055,1789.397064
Appalachian (Hemlock-)Northern Hardwood Forest,6213700,Hardwood,274830,239309,87.0752829,AlternativeSuccession,0.65052,1788,1556.906058
Appalachian (Hemlock-)Northern Hardwood Forest,6313700,Hardwood,4944002,3635417,73.5318675,ReplacementFire,0.10046,4967,3652.327859
Appalachian (Hemlock-)Northern Hardwood Forest,6313700,Hardwood,4944002,3635417,73.5318675,NonFireDisturbances,0.7379,36482,26825.8959
Appalachian (Hemlock-)Northern Hardwood Forest,6313700,Hardwood,4944002,3635417,73.5318675,MixedFire,0.0915,4524,3326.581686
Appalachian (Hemlock-)Northern Hardwood Forest,6313700,Hardwood,4944002,3635417,73.5318675,AlternativeSuccession,0.6431,31795,23379.45727
Appalachian (Hemlock-)Northern Hardwood Forest,6313700,Hardwood,4944002,3635417,73.5318675,Wind/Weather/Stress,0.7379,36482,26825.8959
Appalachian (Hemlock-)Northern Hardwood Forest,6313700,Hardwood,4944002,3635417,73.5318675,NonReplacementFire,0.0915,4524,3326.581686
Appalachian (Hemlock-)Northern Hardwood Forest,6413700,Hardwood,1369588,770451,56.2542166,ReplacementFire,0.0993,1360,765.0573457
Appalachian (Hemlock-)Northern Hardwood Forest,6413700,Hardwood,1369588,770451,56.2542166,NonFireDisturbances,0.73974,10131,5699.114683
Appalachian (Hemlock-)Northern Hardwood Forest,6413700,Hardwood,1369588,770451,56.2542166,MixedFire,0.08978,1230,691.9268641
Appalachian (Hemlock-)Northern Hardwood Forest,6413700,Hardwood,1369588,770451,56.2542166,NonReplacementFire,0.08978,1230,691.9268641
Appalachian (Hemlock-)Northern Hardwood Forest,6413700,Hardwood,1369588,770451,56.2542166,AlternativeSuccession,0.64686,8859,4983.561048
Appalachian (Hemlock-)Northern Hardwood Forest,6413700,Hardwood,1369588,770451,56.2542166,Wind/Weather/Stress,0.73974,10131,5699.114683
Appalachian (Hemlock-)Northern Hardwood Forest,6513700,Hardwood,1512101,872231,57.68338226,Wind/Weather/Stress,0.74264,11229,6477.266994
Appalachian (Hemlock-)Northern Hardwood Forest,6513700,Hardwood,1512101,872231,57.68338226,ReplacementFire,0.1008,1524,879.0947457
Appalachian (Hemlock-)Northern Hardwood Forest,6513700,Hardwood,1512101,872231,57.68338226,NonReplacementFire,0.0904,1367,788.5318355
Appalachian (Hemlock-)Northern Hardwood Forest,6513700,Hardwood,1512101,872231,57.68338226,MixedFire,0.0904,1367,788.5318355
Appalachian (Hemlock-)Northern Hardwood Forest,6513700,Hardwood,1512101,872231,57.68338226,AlternativeSuccession,0.64584,9766,5633.359112
Appalachian (Hemlock-)Northern Hardwood Forest,6513700,Hardwood,1512101,872231,57.68338226,NonFireDisturbances,0.74264,11229,6477.266994
